ID1 ID2 nb_sup2 sum_sup2 Sex1 State1 Region1 Sex2 State2 Region2
HG00656 HG00684 8 21.195 1 CHS EAS 2 CHS EAS
HG00657 HG00662 6 19.306 2 CHS EAS 1 CHS EAS
HG00662 HG00651 19 60.767 1 CHS EAS 2 CHS EAS
HG00663 HG00651 6 17.615 2 CHS EAS 2 CHS EAS
HG00671 HG00653 5 19.227 1 CHS EAS 1 CHS EAS
HG00672 HG00698 28 108.1 2 CHS EAS 1 CHS EAS
HG00674 HG04164 8 22.775 1 CHS EAS 1 BEB SAS
HG00675 NA12813 6 20.34 2 CHS EAS 2 CEU EUR
HG00683 HG00650 10 34.575 1 CHS EAS 1 CHS EAS
HG00684 HG00656 8 21.195 2 CHS EAS 1 CHS EAS
HG00689 HG00708 57 171.369 1 CHS EAS 2 CHS EAS
HG00690 HG03643 5 13.201 2 CHS EAS 2 STU SAS
HG00692 NA18545 7 17.438 1 CHS EAS 2 CHB EAS
HG00693 HG00448 5 15.167 2 CHS EAS 1 CHS EAS
HG00698 HG00672 28 108.1 1 CHS EAS 2 CHS EAS
HG00699 HG02139 4 12.479 2 CHS EAS 2 KHV EAS
HG00701 HG00662 8 22.231 1 CHS EAS 1 CHS EAS
HG00704 NA18573 7 18.354 1 CHS EAS 2 CHB EAS
HG00705 HG02061 8 23.052 2 CHS EAS 1 KHV EAS
HG00707 HG00662 7 22.828 1 CHS EAS 1 CHS EAS
HG00708 HG00689 57 171.369 2 CHS EAS 1 CHS EAS
HG00717 HG00707 6 20.912 2 CHS EAS 1 CHS EAS
HG00728 HG02026 7 17.441 1 CHS EAS 1 KHV EAS
HG00729 NA20763 5 15.752 2 CHS EAS 1 TSI EUR
HG00731 HG00732 23 70.574 1 PUR AMR 2 PUR AMR
HG00732 HG00731 23 70.574 2 PUR AMR 1 PUR AMR
HG00734 HG01054 18 54.666 2 PUR AMR 1 PUR AMR
HG00736 HG01072 21 70.319 1 PUR AMR 1 PUR AMR
HG00737 HG01072 18 58.234 2 PUR AMR 1 PUR AMR
HG00739 HG01326 8 28.883 1 PUR AMR 2 PUR AMR
HG00740 HG01072 16 63.496 2 PUR AMR 1 PUR AMR
HG00742 HG01055 16 60.998 1 PUR AMR 2 PUR AMR
HG00743 HG01069 21 63.421 2 PUR AMR 1 PUR AMR
HG00759 HG00956 8 20.311 2 CDX EAS 2 CDX EAS
HG00766 HG00879 24 61.912 2 CDX EAS 2 CDX EAS
HG00844 HG00881 14 39.232 1 CDX EAS 1 CDX EAS
HG00851 HG00881 39 102.188 2 CDX EAS 1 CDX EAS
HG00864 HG00881 10 23.471 2 CDX EAS 1 CDX EAS
HG00879 HG00766 24 61.912 2 CDX EAS 2 CDX EAS
HG00881 HG00851 39 102.188 1 CDX EAS 2 CDX EAS
